ticket_id,created_at,priority,customer_tier,channel,product_area,region,reporter_history_count,queue_depth_at_creation,is_reopen,description_length,business_hours_flag,resolved_at,time_to_resolution,closed_status,agent_notes_final,breached_sla
T000000,2025-04-27T09:41:00,low,standard,chat,auth,emea,7,3,0,327,0,2025-04-28T03:24:00,1063,breached_resolved,escalated; SLA missed,1
T000001,2025-04-13T04:07:00,low,enterprise,portal,auth,latam,0,12,1,283,0,2025-04-13T11:50:00,463,breached_resolved,escalated; SLA missed,1
T000002,2025-01-19T14:33:00,low,standard,phone,api,apac,11,2,0,335,0,2025-01-19T17:18:00,165,within_sla,resolved on time,0
T000003,2025-06-06T20:51:00,medium,standard,email,billing,emea,10,0,0,298,0,2025-06-06T22:45:00,114,within_sla,resolved on time,0
T000004,2025-03-06T16:12:00,low,standard,email,data,emea,3,27,0,185,1,2025-03-06T22:35:00,383,within_sla,resolved on time,0
T000005,2025-05-20T20:48:00,high,standard,email,api,latam,7,42,0,294,0,2025-05-20T22:53:00,125,within_sla,resolved on time,0
T000006,2025-03-25T12:45:00,low,standard,chat,mobile,apac,7,10,0,20,1,2025-03-25T19:41:00,416,within_sla,resolved on time,0
T000007,2025-06-06T18:12:00,low,standard,portal,data,na,1,46,0,218,0,2025-06-06T23:06:00,294,within_sla,resolved on time,0
T000008,2025-06-11T01:41:00,medium,standard,phone,billing,apac,1,37,0,286,0,2025-06-11T03:51:00,130,within_sla,resolved on time,0
T000009,2025-06-08T11:21:00,medium,enterprise,chat,auth,apac,8,7,0,216,0,2025-06-09T02:19:00,898,breached_resolved,escalated; SLA missed,1
T000010,2025-06-29T08:56:00,high,standard,chat,billing,emea,18,0,0,174,0,2025-06-29T11:58:00,182,within_sla,resolved on time,0
T000011,2025-03-28T12:32:00,urgent,standard,phone,data,latam,21,20,0,150,1,2025-03-28T20:11:00,459,breached_open,escalated; SLA missed,1
T000012,2025-01-23T00:40:00,low,standard,phone,billing,emea,7,28,0,261,0,2025-01-23T16:20:00,940,breached_open,escalated; SLA missed,1
T000013,2025-05-02T18:48:00,medium,enterprise,chat,mobile,latam,8,50,0,366,0,2025-05-03T13:53:00,1145,breached_open,escalated; SLA missed,1
T000014,2025-05-03T13:58:00,medium,standard,email,ui,apac,8,21,0,155,0,2025-05-04T04:20:00,862,breached_open,escalated; SLA missed,1
T000015,2025-03-22T16:04:00,high,enterprise,email,billing,na,21,22,0,289,0,2025-03-23T12:03:00,1199,breached_open,escalated; SLA missed,1
T000016,2025-01-01T09:25:00,urgent,standard,portal,api,latam,4,2,0,147,1,2025-01-01T19:30:00,605,breached_resolved,escalated; SLA missed,1
T000017,2025-04-09T16:53:00,low,standard,email,billing,latam,0,29,0,267,1,2025-04-09T19:44:00,171,within_sla,resolved on time,0
T000018,2025-02-12T19:37:00,medium,enterprise,chat,data,na,3,17,0,20,0,2025-02-13T08:57:00,800,breached_open,escalated; SLA missed,1
T000019,2025-05-03T06:39:00,medium,business,phone,billing,na,0,46,0,294,0,2025-05-03T23:11:00,992,breached_open,escalated; SLA missed,1
T000020,2025-03-09T06:29:00,low,business,phone,data,na,4,10,0,415,0,2025-03-10T03:41:00,1272,breached_resolved,escalated; SLA missed,1
T000021,2025-02-21T07:00:00,medium,,chat,mobile,apac,3,29,0,381,0,2025-02-21T10:40:00,220,within_sla,resolved on time,0
T000022,2025-01-24T19:33:00,medium,standard,chat,mobile,latam,1,23,1,441,0,2025-01-24T23:57:00,264,within_sla,resolved on time,0
T000023,2025-04-17T01:01:00,medium,business,chat,billing,apac,0,61,0,329,0,2025-04-17T04:22:00,201,within_sla,resolved on time,0
T000024,2025-04-12T22:10:00,high,business,chat,auth,emea,18,25,0,413,0,2025-04-13T14:26:00,976,breached_open,escalated; SLA missed,1
T000025,2025-05-28T14:13:00,low,standard,email,ui,,10,20,0,120,1,2025-05-28T17:31:00,198,within_sla,resolved on time,0
T000026,2025-02-05T03:47:00,medium,standard,email,api,apac,4,15,0,20,0,2025-02-05T16:06:00,739,breached_open,escalated; SLA missed,1
T000027,2025-02-18T07:50:00,low,,portal,api,apac,0,50,0,282,0,2025-02-18T20:55:00,785,breached_open,escalated; SLA missed,1
T000028,2025-04-09T00:31:00,medium,standard,phone,ui,na,20,17,0,187,0,2025-04-09T02:51:00,140,within_sla,resolved on time,0
